City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Constitucion,5,MX,1578141387,85,23.99,-104.67,35.01,4.7
Punta Arenas,40,CL,1578141387,66,-53.16,-70.91,51.8,13.87
Phuket,20,TH,1578141384,69,7.89,98.4,82.4,5.82
Teya,75,MX,1578141387,94,21.05,-89.07,73.99,3.36
Rikitea,100,PF,1578141387,82,-23.12,-134.97,77.65,15.48
Butaritari,53,KI,1578141387,80,3.07,172.79,84.29,15.5
Ilulissat,90,GL,1578141388,78,69.22,-51.1,17.6,5.82
Savannah Bight,72,HN,1578141388,75,16.45,-85.85,79.07,13.2
Kutum,0,SD,1578141388,17,14.2,24.66,76.08,10.27
Khatanga,95,RU,1578141388,93,71.98,102.47,-10.62,4.61
Fortuna,75,US,1578141388,100,40.6,-124.16,46.99,2.13
Sorgun,99,TR,1578141388,72,39.81,35.19,32.88,3.44
Mataura,81,NZ,1578141388,82,-46.19,168.86,48.99,4.0
Lata,100,IN,1578141388,99,30.78,78.62,12.36,8.05
Provideniya,0,RU,1578141388,77,64.42,-173.23,-14.19,9.1
Nome,1,US,1578141388,81,30.04,-94.42,48.99,6.93
Saint-Louis,82,SN,1578141388,16,16.03,-16.5,75.2,13.87
Jinxiang,84,CN,1578141388,52,35.07,116.31,44.74,4.03
Pueblo,1,US,1578141258,78,38.25,-104.61,34.0,4.47
Smoky Lake,100,CA,1578141388,93,54.11,-112.47,18.77,9.24
Cape Town,45,ZA,1578141197,61,-33.93,18.42,80.01,11.41
Hobart,75,AU,1578141225,61,-42.88,147.33,57.2,11.41
Gorontalo,100,ID,1578141126,92,0.54,123.06,75.56,6.04
Vila Velha,75,BR,1578141389,70,-3.71,-38.6,86.0,9.17
Arraial do Cabo,20,BR,1578141389,69,-22.97,-42.02,80.6,11.41
Avarua,32,CK,1578141389,88,-21.21,-159.78,77.0,5.82
Albany,90,US,1578141367,86,42.65,-73.75,41.0,2.24
Lebu,68,ET,1578141389,36,8.96,38.73,72.52,4.25
Churapcha,73,RU,1578141389,95,62.0,132.43,-27.35,4.41
Qaanaaq,50,GL,1578141389,95,77.48,-69.36,-41.89,3.51
Barrow,0,AR,1578141389,53,-38.31,-60.23,75.92,14.03
Saint George,20,GR,1578141389,35,39.45,22.34,57.2,4.7
Dikson,2,RU,1578141389,92,73.51,80.55,-8.99,15.3
Gotsu,47,JP,1578141389,59,35.01,132.22,50.43,22.68
Dingle,11,PH,1578141389,93,11.0,122.67,73.22,9.98
